"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic","%Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
"4","Summary of All HUD Programs","1","NA","Alaska Housing Finance Corporation","AK001","1237","89","1101","100","11","13","2.7","2990","760","1091","36311","13371","3","5","7","24","61","44","3","53","36","79","56","14","35","71","40","26","44","14","2","50","14","34","2","69","9","38","13","31","1","5","2","8","9","-1","90","27","93","37","23","40","8","13","56","40","0200","11260","03000","61.181795","-149.778786","AK","1237","5"
"4","Summary of All HUD Programs","1","NA","Alaska Housing Finance Corporation","AK901","5056","90","4807","100","8","21","1.8","8459","576","741","20820","11831","10","5","9","34","41","22","3","72","23","97","76","5","20","64","21","48","58","34","2","37","21","40","1","51","15","21","9","49","1","4","1","7","11","49","73","69","124","46","39","15","26","13","48","42","0200","11260","03000","61.181795","-149.778786","AK","5056","7"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the Birmingham District","AL001","10709","81","8769","100","6","13","2.5","21538","385","1008","15946","6492","17","7","32","11","32","34","2","57","20","95","77","1","54","87","54","23","73","17","4","63","15","18","1","98","96","0","0","2","2","0","0","2","1","28","110","99","251","17","35","48","28","32","88","64","0107","13820","07000","33.508954","-86.805206","AL","10989","8"
"4","Summary of All HUD Programs","1","NA","MOBILE HOUSING AUTHORITY","AL002","6943","73","5114","100","6","8","2.6","13298","415","1036","16265","6255","18","10","30","11","30","41","1","57","26","90","68","1","57","90","57","16","66","13","5","62","12","21","1","96","95","0","0","4","0","0","0","1","1","15","105","96","217","16","33","52","29","27","77","70","0101","33660","50000","30.687978999999995","-88.044136","AL","7387","7"
"4","Summary of All HUD Programs","1","NA","ANNISTON HA","AL004","1005","81","864","100","4","16","2.4","2114","328","677","13534","5531","23","12","33","12","20","28","1","69","22","93","76","1","55","91","55","26","49","13","5","61","15","19","1","91","91","0","0","9","-1","0","-1","0","1","22","82","100","206","12","44","44","32","26","64","73","0103","11500","","33.6636","-85.8142","AL","1005","5"
"4","Summary of All HUD Programs","1","NA","PHENIX CITY HOUSING AUTHORITY","AL005","1711","82","1436","100","5","18","2.3","3361","375","579","15981","6828","9","18","33","12","29","35","5","59","27","90","66","2","53","84","53","21","53","14","8","57","13","22","0","90","87","0","0","10","1","2","0","3","1","7","83","99","153","23","42","35","22","28","58","63","0103","17980","59472","32.474943","-84.997268","AL","1711","5"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Montgomery","AL006","4304","98","4200","99","5","11","2.7","11209","408","767","16863","6318","18","9","29","11","32","41","1","58","24","91","71","1","61","90","61","21","78","14","5","68","13","14","0","98","97","0","0","2","1","0","0","1","1","33","96","98","223","15","30","55","26","34","83","64","0102","33860","51000","32.371166","-86.30574","AL","4441","6"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Dothan","AL007","1662","87","1525","100","8","16","2.6","3914","294","675","11528","4492","31","10","34","11","15","25","1","74","19","97","81","0","62","92","61","21","69","13","7","63","13","17","1","92","90","0","0","8","1","0","0","1","1","14","70","99","201","14","38","48","26","34","66","69","0102","20020","21184","31.217425","-85.396166","AL","1779","5"
"4","Summary of All HUD Programs","1","NA","Selma Housing Authority","AL008","1690","74","1218","97","5","22","2.3","2827","308","585","13343","5749","14","16","41","12","17","30","1","69","25","94","74","1","50","89","49","23","45","14","6","56","14","24","1","97","96","0","0","3","0","0","-1","0","0","12","94","97","185","18","41","41","31","35","86","61","0107","42820","69120","32.410593","-87.020447","AL","1690","5"
"4","Summary of All HUD Programs","1","NA","Housing Authority of the City of Attalla","AL009","108","96","104","100","5","15","2.3","243","429","579","23886","10223","-1","3","29","13","55","47","-1","52","40","80","40","3","50","84","46","26","46","16","8","51","18","23","1","24","21","-1","-1","76","-1","3","-1","3","1","2","88","100","159","12","38","50","36","11","23","86","0104","23460","99999","34.018299","-86.110406","AL","108","2"
